,Country,Alcohol use,Drug use,Unsafe sex,Smoking,Low physical activity,Diet low in fruits,Diet low in vegetables,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
470,Estonia,1540.777497,217.59601040000004,84.82570936,2137.135278,466.50353550000005,613.8387954,507.45378439999996,1093.10565,927.7553611,827.5692249
471,Estonia,1523.9033060000002,214.89979830000001,82.53658816,2160.7620460000003,483.0448914,623.9745682999999,516.4409445,1111.241832,951.9833127999999,847.4839168
472,Eswatini,742.4671521,207.8197906,7508.110758,611.551157,104.81636759999999,274.5209783,235.6932012,127.897543,279.68282089999997,202.3066612
473,Eswatini,708.363157,197.42275519999998,6938.3654799999995,596.3149665,104.37252640000001,268.35351529999997,232.43127880000003,127.2472366,276.14443769999997,201.33509519999998
474,Eswatini,683.0574456,189.0044574,6430.49143,586.932283,105.30737099999999,265.56285130000003,231.89559010000002,128.15253470000002,275.8095625,202.71255219999998
475,Eswatini,656.1124534,178.89300769999997,5835.133335,574.8563941000001,105.96954939999999,262.0922883,230.4191732,128.58836090000003,274.6954224,203.3234081
476,Eswatini,623.4730507999999,159.0012044,4775.439163,555.4824637999999,105.064752,254.1868531,225.24776690000002,126.86366940000002,268.9791078,200.5547772
477,Eswatini,596.7589114,137.5490716,3667.444218,533.8331132000001,103.3946188,245.95764350000002,218.60413369999998,124.2522255,261.6003543,196.222331
478,Eswatini,565.4507659,121.42331010000001,2819.1273899999997,516.0771526999999,102.80503759999999,241.0656836,214.40196880000002,122.3298628,257.2565322,193.8810891
479,Eswatini,544.2938811,111.04491920000001,2256.316015,498.9976676,102.5221833,237.1998999,211.18566969999998,121.3293685,253.9010361,191.67846880000002
480,Ethiopia,18271.30725,1415.187331,41592.19183,9865.654416,4432.251461,11550.88292,7999.175491,5003.396403,11283.914209999999,6598.879631
481,Ethiopia,17801.8823,1365.66154,34894.801530000004,9658.394745,4462.726225,11470.42443,7929.754204999999,4935.367848,11195.11286,6590.304561
482,Ethiopia,17381.13199,1348.731149,30258.455319999997,9498.52082,4505.219084,11426.9606,7897.806970000001,4893.982134000001,11162.1215,6617.735497
483,Ethiopia,17135.39208,1353.517175,26951.53148,9368.276878,4523.590261,11367.253429999999,7824.826655,4823.7159329999995,11103.60417,6599.31423
484,Ethiopia,17102.307630000003,1362.237529,23498.7424,9333.611673000001,4602.487427,11450.4831,7871.676365,4801.426154,11181.15273,6662.835824
485,Ethiopia,17134.43104,1386.348493,21077.00547,9330.90287,4723.29349,11597.28257,7975.707259000001,4804.945388,11331.046559999999,6792.437839
486,Ethiopia,17160.88244,1419.571199,18813.56648,9381.566198,4848.479245,11790.0723,8088.996749,4971.986011999999,11509.549009999999,6922.197417
487,Ethiopia,17320.28654,1461.239724,16718.426209999998,9462.55941,4980.126238,12026.448559999999,8224.952021,5156.8805409999995,11723.33088,7053.482091
488,Fiji,70.29241783,24.91731507,84.89117281,825.8034227999999,219.82595849999998,504.273815,334.3827381,404.4540702,730.0613157,534.2777712000001
489,Fiji,75.42867146,25.62794134,85.67856724,836.6373401000001,223.903289,510.20000489999995,335.82272789999996,404.1501139,743.7688494,542.4849502000001
490,Fiji,79.98250136,26.60849486,85.50116692,852.0996322999999,229.6203586,518.9662283,342.13629019999996,407.7084503,760.9514422999999,555.0222934
491,Fiji,83.56796333,27.35183381,85.29556248,863.4012236,233.75782630000003,523.5333191999999,347.5861617,410.26883680000003,770.9850921,563.2073118
492,Fiji,86.6482372,28.09146968,85.45034032,871.6079363,237.568983,528.54206,352.27101939999994,411.8812664,780.1875234,570.8186162999999
493,Fiji,89.28999856,28.81529262,86.57888941,878.2190849,241.5993128,532.4849396000001,356.49427000000003,414.3733989,789.2113332,578.3016537999999
494,Fiji,93.53559417,29.51332676,88.09348879,882.7884501,245.409904,536.3616883000001,360.4047298,424.07514360000005,797.8044629999999,585.0600525
495,Fiji,92.46223418,30.14953675,88.90343386,885.5265208999999,249.1264887,539.3889468,363.7972832,433.42022280000003,804.0173711,590.6932251000001
496,Finland,2702.926056,657.7315332000001,122.1578351,5391.762755,1814.282568,1862.0601190000002,1957.361519,1769.629503,2872.18225,2591.4421
497,Finland,2636.504821,652.283892,119.10403600000001,5337.345686,1787.5882,1825.0215829999997,1909.098437,1772.544708,2815.035711,2531.707726
498,Finland,2570.011604,649.3495303,123.53271470000001,5316.668019,1783.019344,1809.202527,1882.8746489999999,1785.2598870000002,2789.353064,2496.891506
499,Finland,2544.891597,650.5070076000001,120.7320156,5345.833781,1769.8885699999998,1798.105387,1856.477933,1794.1942239999998,2763.088568,2462.885417
500,Finland,2452.849648,633.0478032999999,119.08940190000001,5291.587528,1741.524772,1765.7112539999998,1813.605189,1777.1939320000001,2707.257681,2407.844105
501,Finland,2348.098368,624.6006484000001,117.84948490000002,5270.094218,1744.734882,1756.0193100000001,1802.705557,1778.547285,2696.390606,2396.7856070000003
502,Finland,2335.838028,642.2869649,117.2252938,5457.538369,1819.463082,1820.791762,1871.968786,1841.241711,2806.130251,2494.851028
503,Finland,2331.733999,659.028087,117.8465258,5638.935713,1881.760837,1874.74857,1929.866019,1895.657595,2900.496616,2576.5736850000003
504,France,45465.10811,4759.468727,2529.5946510000003,83599.6926,12306.09279,13809.46547,10487.98673,12732.72665,21040.19635,13463.4294
505,France,44388.63205,4889.700601,2462.294487,83421.70682,12327.4631,13739.11927,10459.778859999999,12955.24747,20961.25995,13392.28686
506,France,43218.24267,4971.276489,2469.575855,83007.53324,12405.76072,13710.311119999998,10461.96817,13211.41167,20915.087919999998,13366.115609999999
507,France,41999.77835,5042.164718999999,2480.262918,82013.61077999999,12272.30991,13537.514990000001,10312.4217,13270.83127,20612.582580000002,13152.83943
508,France,40497.4483,5072.152555,2354.451978,80201.17794,12069.233890000001,13300.28717,10092.67412,13201.0228,20169.45485,12851.95188
509,France,40262.26911,5192.924951,2388.5012239999996,80348.78087999999,12379.77131,13483.29449,10304.0571,13584.51575,20578.03785,13130.127040000001
510,France,39248.09615,5248.258390999999,2370.666189,79122.78195,12443.14292,13408.014159999999,10291.36925,13732.966330000001,20564.52033,13115.646420000001
511,France,38820.82835,5367.317449,2373.429389,79002.38066,12724.78148,13606.33325,10492.90235,14078.126180000001,20953.00103,13357.80869
